,rider_provider,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1,1786352_2021,176459000.0,0.7405997523765555,1.5505441683411025,-1.2062981461102175e-07,0.8374249906829111,,-4.1049203231364474e-07,-52161000.0,,,-0.0,-0.0,-0.0,-0.0,,-1.8444811183380255e-07,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1786352_2020,118456000.0,0.7516243654822335,1.4190018528822248,-0.10446411753625919,1.956547155105222,,-0.9706619496781963,4946000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.21252299202942979,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1280058_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1280058_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1666134_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1666134_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1073349_2021,318095000.0,0.6747835715937319,1.678439448764339,-0.3767143881397877,0.19022397094430993,,-1.98781535577599,188904000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.10624364025360712,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1073349_2020,305804000.0,0.6915184941465918,2.064314190855878,-0.07120838471023427,0.19609991293047774,,-0.392597260316954,185654000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.022013385428502313,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1378590_2021,8726000.0,0.6581190135002639,1.2499100179964007,-0.656612933498038,0.0831778219086491,,-6.6751823724889485,3350000.0,,,-0.0,-0.0,-0.0,-0.0,,-1.4756232075887934,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,813672_2021,2451865000.0,0.9138891591197704,1.8556377446009578,2.1174513606820082,0.31961582307067177,,23.691926813203914,,,,0.0,0.0,0.0,0.0,,2.556612675629583,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,,,1.0
1,813672_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1609702_2021,,,1.5267445017648655,8.51275720164609,0.7660149750415973,,215.12063227953408,,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,,1.0,0.0,0.0,,0.0,1.0,,,
1,1609702_2020,,,1.3014426727410784,1.71345995045417,-0.8837443381982888,,-34.80959570541855,,,,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
1,1768267_2021,286108000.0,0.7389496412539839,1.736432983080171,1.2069165023011177,0.16019167688200436,,4.447233137424959,161668000.0,,,0.0,0.0,0.0,0.0,,0.4540534657775491,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1725057_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1169652_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1022505_2021,,,4.196875512525105,,0.282511478146801,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
1,877890_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,877890_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,827876_2021,,,,,,,,,,,-0.0,-0.0,-0.0,-0.0,,,,,,,,0.0,0.0,,0.0,1.0,,,
1,827876_2020,,,,,,,,,,,-0.0,-0.0,-0.0,-0.0,,,,,,,,0.0,0.0,,0.0,1.0,,,
1,1535379_2021,680070000.0,0.7823569066951354,1.5049124653714547,-0.5587994961965878,0.23881275907645433,,-5.8607190575829495,32923000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.8601708353595365,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1535379_2020,561689000.0,0.7072467454302555,1.2206284011670012,-0.2177981761361804,0.1983470735198305,,-2.1986692454098202,-107252000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.27650084730453933,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1477333_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1477333_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1169561_2021,614099000.0,0.8488220691332906,1.6280727327291922,-0.6659352007228605,0.348886364804921,,-2.8937220422643835,87110000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.28301317509805896,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1169561_2020,553807000.0,0.8254872295549908,1.5634751060708438,0.19419269305166156,0.33571857000242167,,0.9129839913596054,99570000.0,,,0.0,0.0,0.0,0.0,,0.07631664360511796,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1401680_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1401680_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1385867_2021,319942000.0,0.5906879623663557,0.8047530539129747,,0.681823407938389,,,55148000.0,,,,,,,,,0.0,,1.0,,,,,1.0,,,,,
1,1385867_2020,250503000.0,0.642778514776031,1.819477727657175,,0.6461589842979096,,,65791000.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,
1,1535527_2021,,,2.6544682260382397,-0.10973702695358364,0.991935205967557,,-2.458492902383944,,,,-0.0,-0.0,-0.0,-0.0,,-0.09324097671480537,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,1.0,,,0.0
