CIK,CompanyName
860731.0,TYLER TECHNOLOGIES INC
1810806.0,UNITY SOFTWARE INC
1505155.0,UPLAND SOFTWARE INC
1361113.0,VARONIS SYSTEMS INC
1393052.0,VEEVA SYSTEMS INC
1566610.0,VERB TECHNOLOGY CO INC
1166388.0,VERINT SYSTEMS INC
1615165.0,VERITONE INC
1806837.0,VERTEX INC
1082324.0,VIRNETX HOLDING CORP
1124610.0,VMWARE INC -CL A
704366.0,WOD RETAIL SOLUTIONS
1327811.0,WORKDAY INC
1445305.0,WORKIVA INC
1803696.0,XPERI HOLDING CORP
1614178.0,YEXT INC
1463172.0,ZENDESK INC
855612.0,ZIX CORP
1585521.0,ZOOM VIDEO COMUNICATIONS INC
1794515.0,ZOOMINFO TECHNOLOGIES
1713683.0,ZSCALER INC
1423774.0,ZUORA INC
