Feature,Values
Cash and cash equivalents,"['121398', '148502']"
Total current assets,"['920376', '566477']"
"Property and equipment, net","['70380', '72729']"
Goodwill,"['1280525', '909691']"
Total assets,"['274053', '235876']"
Total current liabilities,"['611950', '296620']"
Total stockholders’ equity,"['1129968', '1048231']"
Total liabilities and stockholders’ equity,"['1186830', '807354']"
Net loss,"['(17819)', '(27617)', '(10751)']"
"Net loss per share, basic and diluted (in dollars per share)","['(3.83)', '(0.69)', '(0.60)']"
Total stockholders' equity,"['108787', '103883']"
Total liabilities and stockholders' equity,"['274053', '235876']"
"Impairment of goodwill, intangible assets and equipment","['0', '0', '9469']"
Total operating expenses,"['297507', '299583', '303500', '233948', '203536', '217166', '237153', '226014', '1134538', '883869', '939551']"
"Other income (expense), net","['(11717)', '1463', '3693']"
Net loss per share:,[]
"Other comprehensive income (loss), net of tax",[]
Marketable securities,"['84180', '87754']"
Gross profit,"['163747', '180327', '182111']"
"Interest and other income, net","['919', '1273', '989']"
"Total non-operating income (expense), net","['682', '1144', '827']"
Weighted-average shares used in computing net loss per share:,[]
"Other comprehensive loss, net of tax:",[]
Unrealized gain (loss) on marketable securities,"['395', '(21)', '(78)']"
"Deferred income taxes, net","['32053', '31715']"
TOTAL ASSETS,"['3257534', '2122455']"
TOTAL LIABILITIES AND STOCKHOLDERS’ EQUITY,"['3257534', '2122455']"
Revenues,[]
Total revenues,"['19937', '17253', '20656', '21109', '18268', '17669', '20792', '20325', '78955', '77054', '83424']"
Net income,"['67062', '68921', '5135']"
