cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1459417_2019,,,1.673236980135168,-0.33906405704066106,0.13024614595712802,-70.75359213649438,-1.800098381548365,,,,-0.0,-0.0,-0.0,-0.0,1525022924.9099998,,1,0.0,0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,
1459417_2020,,,2.548277154978114,-2.9879841998072063,0.1441593271848092,-13.390298383298534,-13.147541501323353,,,,9.043796975039436,904.3796975039436,904.3796975039436,1808.7593950078872,2898785355.21,,0,0.0,0,0.0,0.0,1.0,1.0,,1.0,0.0,,1.0,
1459417_2021,,,1.1809407298797328,-2.5710100512228533,0.19215350293957,-7.806270531869012,-11.221644269394133,,,,-0.10032150181999594,-10.032150181999594,-10.032150181999594,-20.064300363999187,1520396086.41,,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,
1023731_2020,301224000.0,0.6750314294870214,2.245590439538181,-0.3320939906727383,0.19733034466660485,-41.73517253932584,-5.478245298765416,-159819000.0,,,-0.0,-0.0,-0.0,-0.0,1430055687.06,-0.2362891602821816,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1023731_2021,352262000.0,0.6617187382594714,2.2782794246074247,-0.41264587243255446,0.160628762524102,-70.4478148021495,-5.959692606164551,-146149000.0,,,0.3142857142857143,31.428571428571427,31.428571428571427,62.857142857142854,3172546891.8,-0.31055146779943865,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
1580808_2020,175379000.0,0.7776408146252999,2.248125811838931,0.23335865664212926,0.2532817589193813,42.25255725190839,4.186739484976524,67881000.0,,,0.0,0.0,0.0,0.0,752771560.0,0.3552684055196618,0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1580808_2021,196537000.0,0.7860159493205141,2.446646853598656,1.2255660462653217,0.260259845079422,13.528442673917395,21.273442667055274,86893000.0,,,4.325942972608891,432.59429726088905,432.59429726088905,865.1885945217781,1283673339.9999998,1.8921392677674085,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0
935036_2019,,,1.504005229185391,0.5781887165483056,0.5415640088922872,65.52358929826131,5.934858332271356,,,,0.0,0.0,0.0,0.0,4394142945.5199995,,1,0.0,1,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,
935036_2020,,,1.2752955206740246,0.6204307433936102,0.7505447137693861,61.940837731213875,6.021894634248221,,,,0.08347499328979154,8.347499328979154,8.347499328979154,16.69499865795831,4500621269.55,,0,0.0,1,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,
935036_2021,,,1.2430256379656701,1.1042162724103644,0.6058555066489821,31.425003296006764,10.26617619059478,,,,0.7587530966143683,75.87530966143683,75.87530966143683,151.75061932287366,4015832596.2000003,,0,1.0,1,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,
796343_2019,,,0.7929403201440421,6.119053197025329,0.5523757462119389,50.5846231489657,19.903872000535184,,163362848670.0,,0.0,0.0,0.0,0.0,149298390670.0,,0,1.0,1,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,
796343_2020,,,1.477866473149492,10.981210855949895,0.2810667482535312,43.44056463878327,26.82168170924481,,247747370000.0,,0.7821700325737314,78.21700325737314,78.21700325737314,156.43400651474627,228497370000.0,,0,1.0,0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,
