cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1262039_2020,2024.4,0.7802960222016652,1.4978955998906807,3.006153846153846,1.515490390987409,49.408648925281476,40.46554009277667,1101.8000000000002,,,0.0,0.0,0.0,0.0,24136.125,0.8570175438596491,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1262039_2021,2559.2,0.7657231763509066,1.5532548207583798,3.7456790123456787,1.8482698134268856,95.95056031641398,48.38143836708658,1433.3999999999999,,,0.2421699078812691,24.21699078812691,24.21699078812691,48.43398157625382,58222.799999999996,1.0645614035087718,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
944480_2018,23604000.0,0.25456467111719855,1.567398119122257,0.0,0.2858496121252464,inf,0.0,70959000.0,,,,,,,41761721.4,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,0.0,0.0
944480_2019,20298000.0,0.24462789996987044,0.8938258697798688,0.0,0.43367758186397987,inf,0.0,55258000.0,,,,,,,33396085.799999997,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,0.0,0.0
944480_2020,14785000.0,0.25659493231516833,0.8728643917880918,0.0,0.2695671815980022,inf,0.0,33297000.0,,,,,,,27183628.560000002,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,0.0,0.0
1528396_2019,395164000.0,0.5492096053725153,5.747459874629745,,0.14754913762600838,,,308274000.0,,,,,,,8384941336.639999,,0.0,,0.0,,,,,1.0,,,,1.0,
1528396_2020,404292000.0,0.5446425804956709,5.964608921926483,,0.13592609224707383,,,314129000.0,,,,,,,9820130095.5,,0.0,,0.0,,,,,1.0,,,,1.0,
1528396_2021,368213000.0,0.4953980198232936,4.512893171813502,,0.1856995159546971,,,269470000.0,,,,,,,9583966886.4,,0.0,,0.0,,,,,0.0,,,,1.0,
1021435_2018,3007600.0,0.953764191031902,0.6227548064261259,-0.0032026437109869037,0.023941274833476675,-71.03506369426752,-0.03959736790999039,-14500.0,,,-0.0,-0.0,-0.0,-0.0,2230501.0,-0.21536351165980797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1021435_2019,3380300.0,0.9575649415030736,1.0575043777890754,0.056360706897277506,0.02226134413098015,7.09714306332311,0.697026665073846,690000.0,,,-18.65286624203822,-1865.286624203822,-1865.286624203822,-3730.573248407644,3933946.4000000004,3.8017832647462275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,1.0
1021435_2020,3489000.0,0.9574643249176729,3.1042641872395,0.036799743245268406,0.01898236508462033,12.771828239873143,0.8443774709330634,804100.0,,,0.2514883637019664,25.14883637019664,25.14883637019664,50.29767274039328,8859817.25,4.630841121495327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
1404655_2018,412623000.0,0.8043646925806074,3.005868975439751,-1.6241221374045802,0.40190908042624485,-77.41412859560067,-10.823661880116939,52099000.0,,,-0.0,-0.0,-0.0,-0.0,4941189000.0,-0.6360094462767919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0
1404655_2019,544902000.0,0.8074296891207066,3.441122022766668,-1.2512163892445582,0.3076069745702894,-126.67672943102743,-5.126576241439173,82967000.0,,,-0.157955756094504,-15.795575609450399,-15.795575609450399,-31.591151218900798,6808367500.0,-0.5355480933068943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0
