cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label,aggregate,predicted_aggregate
736012_2018,4162982395.0178943,0.7313169059725364,1.1408364083640836,0.1726168012680202,24.451127819548876,22.07201136860516,1719.548872180451,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,50478690.0,0.5944892123732779,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.3231321
736012_2019,4162982395.0178943,0.7313169059725364,2.6001029336078227,0.3297149608625018,0.546400449943757,16.681075027995522,125.56242969628796,329243984.2387387,7935446017.817999,4.57341263382835,0.9523393091386096,95.23393091386096,95.23393091386096,190.46786182772192,74481000.0,1.1606446581752017,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6153846153846154,0.6150822
736012_2020,4162982395.0178943,0.7313169059725364,8.546685340802988,-0.3787461246985876,0.0277507870496327,-46.52192814915871,-8.546776011504528,329243984.2387387,7935446017.817999,4.57341263382835,-2.477491601343785,-247.7491601343785,-247.7491601343785,-495.498320268757,306905160.0,-1.2349307375514789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07466036
736012_2021,4162982395.0178943,0.7313169059725364,1.618991447950457,-0.9831111111111112,0.0402588151489968,-3.4990958408679926,-22.322212988246463,329243984.2387387,7935446017.817999,4.57341263382835,1.8500833712293467,185.00833712293468,185.00833712293468,370.01667424586935,65790000.0,-6.940568475452197,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.30794114
896878_2019,4162982395.0178943,0.7313169059725364,1.8280773143438451,5.984318548697056,0.2043446627169733,46.339444958253054,16.183348924228248,329243984.2387387,7935446017.817999,4.57341263382835,0.0,0.0,0.0,0.0,72150515800.0,1.4551401869158878,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5384615384615384,0.5385405
896878_2020,4162982395.0178943,0.7313169059725364,2.2612638141116466,6.976388782761519,0.3242076251722554,43.9152704271632,16.77537896187414,329243984.2387387,7935446017.817999,4.57341263382835,0.1727681438664097,17.276814386640975,17.276814386640975,34.55362877328195,80189283800.0,1.7065420560747664,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.46153846153846156,0.46187967
896878_2021,8069000000.0,0.8376414408803072,1.942372881355932,7.5466173806430366,0.2159238776837996,70.22616534917556,16.76968119713728,329243984.2387387,7935446017.817999,4.57341263382835,0.1292442497261774,12.924424972617745,12.924424972617745,25.84884994523549,144806352950.0,1.6059190031152648,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6153846153846154,0.50808764
829323_2019,4162982395.0178943,0.7313169059725364,0.5196129663579538,-0.0865661005241078,0.108243081384693,-3.415886798755021,-3.098586547303232,329243984.2387387,7935446017.817999,4.57341263382835,-0.0,-0.0,-0.0,-0.0,15330865.4527,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.07642421
829323_2020,4162982395.0178943,0.7313169059725364,1.6647294840793605,-0.1398738797413484,0.0540367324180479,-3.2379169065553355,-4.521792450442812,329243984.2387387,7935446017.817999,4.57341263382835,0.6275389601896746,62.75389601896746,62.75389601896746,125.50779203793492,23651587.4602,-1.2083964559559142,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.38461538461538464,0.38453567
829323_2021,4162982395.0178943,0.7313169059725364,2.1643946155788973,-0.0775292979875755,0.0603813839049976,-6.83612535850557,-4.304206579653649,329243984.2387387,7935446017.817999,4.57341263382835,0.0405335345589863,4.0533534558986295,4.0533534558986295,8.106706911797259,51958989.370000005,-1.2083964559559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.079612255
