cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1433195_2019,154370000,0.602979548,1.302206487,2.062180289,0.293797869,53.31735571,22.46438279,,,,0,0,0,0,1934460300,0.356958738,0,1,0,1,1,0,0,1,0,1,,0,0
1433195_2020,191027000,0.616104833,4.002670415,8.457632548,0.174192082,21.28728092,55.40116116,,,,3.365883909,336.5883909,336.5883909,673.1767819,3371969160,1.558440408,0,1,0,1,1,1,1,1,1,0,,1,1
1433195_2021,215426000,0.599454601,3.012708484,0.052943297,0.177018707,2286.597296,0.345684492,,,,-0.993510224,-99.35102239,-99.35102239,-198.7020448,2350622020,0.008636551,0,0,0,1,0,0,0,1,0,1,,1,0
1441683_2018,141818000,0.625457015,1.632588531,-0.405448956,0.588229096,-65.87758972,-6.369225413,38206000,,,0,0,0,0,915896129.9,-0.163709155,1,0,1,0,0,0,0,1,0,1,,0,0
1441683_2019,172506000,0.647673899,1.965532864,-0.03831963,0.414353135,-997.1390771,-0.388057337,44743000,,,-0.904840682,-90.48406819,-90.48406819,-180.9681364,1319214999,-0.015578452,1,0,0,0,0,0,0,1,0,1,,0,0
1441683_2020,215807000,0.708555913,2.344118855,-0.859016235,0.331325532,-188.6925921,-7.115226845,50864000,,,24.30385488,2430.385488,2430.385488,4860.770975,6316861907,-0.356741723,0,0,0,0,0,1,1,1,1,0,,1,0
1441683_2021,265166000,0.718103012,1.568062451,-2.21800468,0.43393452,-29.40029865,-17.83061908,20186000,,,1.647817905,164.7817905,164.7817905,329.563581,2606071873,-0.998591803,1,0,0,0,0,1,1,1,1,0,,1,0
1477720_2021,198263000,0.873389896,2.726779466,-1.311060193,0.309252841,-26.97816636,-40.04986607,-146826000,,,0,0,0,0,5711547600,-7.366132007,0,0,0,0,0,0,0,1,0,1,,1,0
929940_2019,,,1.419257276,3.707676832,0.260840614,22.16482281,20.85216955,,,,0,0,0,0,5823452555,,0,1,0,1,1,0,0,,0,1,,1,
929940_2020,,,2.773755,3.391545129,0.160798996,35.65631457,15.74890457,,,,-0.125842106,-12.58421065,-12.58421065,-25.16842129,8189221424,,0,1,0,1,1,0,0,,0,1,,1,
